baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Omics Group Pair,Probe Name,Gene Symbol,Omics Group 1,Omics Group 2
40.19701652,0.567166078,0.282234618,2.017789706,0.043613167,0.148539436,121_vs_120,AATF_26432,AATF,121,120
179.232764,-0.744150006,0.321142261,-2.300707556,0.021408167,0.086986006,121_vs_120,ABCC3_26788,ABCC3,121,120
117.3618683,-0.581786036,0.232181148,-2.535811285,0.011218717,0.053138954,121_vs_120,ABCC4_16668,ABCC4,121,120
65.21318693,0.805289003,0.267237299,3.040848185,0.002359127,0.015978934,121_vs_120,ABCF1_35,ABCF1,121,120
411.8172545,-0.6838593,0.258788196,-2.646239624,0.008139214,0.042232103,121_vs_120,ACADVL_20681,ACADVL,121,120
128.5460185,-0.816658798,0.300788541,-2.751839654,0.005926153,0.033511484,121_vs_120,ACAT1_22692,ACAT1,121,120
44.91592894,0.547243021,0.258439312,2.159594525,0.030804073,0.115130222,121_vs_120,ACBD3_59,ACBD3,121,120
70.08257897,-0.473640841,0.358942016,-1.347705925,0.177752986,0.382913863,121_vs_120,ACOX1_20713,ACOX1,121,120
108.0199622,0.663755292,0.206735634,3.241294801,0.001189881,0.009424485,121_vs_120,ACTL6A_19294,ACTL6A,121,120
891.7280292,0.454300871,0.246136074,1.884121894,0.059548489,0.186684124,121_vs_120,ADAM10_102,ADAM10,121,120
100.0746369,-0.367182904,0.215017794,-1.733156991,0.083067769,0.23176176,121_vs_120,ADGRE5_1154,ADGRE5,121,120
121.9513783,0.647191672,0.232657042,2.818133815,0.004830367,0.028458716,121_vs_120,ADH5_132,ADH5,121,120
24.79846595,-0.564052103,0.44504575,-1.374676006,0.169231913,0.371625704,121_vs_120,ADI1_135,ADI1,121,120
14.60311749,0.789744985,0.442628385,1.900702983,0.057340928,0.180949207,121_vs_120,AEN_18198,AEN,121,120
136.9049128,-0.523891102,0.224617232,-2.365096256,0.018025385,0.075909721,121_vs_120,AHCY_174,AHCY,121,120
266.6949299,0.498527581,0.179828505,2.789671227,0.005276159,0.030484474,121_vs_120,AHSA1_24801,AHSA1,121,120
170.0778819,-0.789335511,0.273467482,-2.947460521,0.003203957,0.020892218,121_vs_120,AIFM1_183,AIFM1,121,120
226.6988263,-0.458488816,0.318148251,-1.40074312,0.161290903,0.360060438,121_vs_120,AKR1C3_203,AKR1C3,121,120
106.8907296,-0.663157944,0.31950426,-2.064971366,0.03892571,0.136325472,121_vs_120,AKR1C3_26820,AKR1C3,121,120
886.5108348,-0.328550593,0.158233262,-2.076878951,0.037812733,0.133404214,121_vs_120,AKT1_26821,AKT1,121,120
288.078616,-0.50147759,0.192990765,-2.601501324,0.009281671,0.045966369,121_vs_120,ALAS1_28273,ALAS1,121,120
381.1492083,-0.380514819,0.161872584,-2.359566699,0.018296291,0.076915166,121_vs_120,ALDH9A1_231,ALDH9A1,121,120
121.3012388,-0.648045985,0.245327505,-2.710768392,0.00671275,0.036446341,121_vs_120,ANO10_292,ANO10,121,120
429.4245605,-0.620180095,0.182430553,-3.426809804,0.000610717,0.005324998,121_vs_120,AP3M1_15244,AP3M1,121,120
101.7561963,0.324912205,0.225587736,1.479100628,0.139113422,0.322753934,121_vs_120,APTX_12622,APTX,121,120
48.95765803,-0.37229689,0.28309953,-1.371372242,0.170258946,0.37229599,121_vs_120,ARPP19_466,ARPP19,121,120
96.84939823,-0.755362784,0.326836495,-2.348687006,0.018839736,0.078726691,121_vs_120,ATF5_501,ATF5,121,120
8.074384219,0.814113361,0.597659801,1.475651024,0.1400376,0.324299443,121_vs_120,ATG12_28409,ATG12,121,120
148.191149,-0.76103988,0.303825191,-2.548906093,0.010806139,0.051800171,121_vs_120,ATP11C_19755,ATP11C,121,120
768.2123593,-0.825704915,0.345991469,-2.422974643,0.015394001,0.067440386,121_vs_120,ATP1A1_12191,ATP1A1,121,120
4509.565021,-0.675530727,0.189845905,-3.579253356,0.000344577,0.003434287,121_vs_120,ATP5B_26124,ATP5B,121,120
100.1618785,-0.458132141,0.329691281,-1.438065205,0.150415554,0.341684715,121_vs_120,ATP6AP1_14351,ATP6AP1,121,120
4106.307694,-0.538903173,0.240950876,-2.244097008,0.02482616,0.096716899,121_vs_120,ATP6V0E1_23077,ATP6V0E1,121,120
641.7423963,-0.685721088,0.279570416,-2.481085842,0.013098282,0.059564813,121_vs_120,ATP6V1B2_17790,ATP6V1B2,121,120
844.0643647,-0.752485254,0.191322446,-3.983307555,6.80E-05,0.000888343,121_vs_120,ATRAID_20268,ATRAID,121,120
15.9424584,-0.653873532,0.462021818,-1.514769556,0.129830773,0.312036358,121_vs_120,BACE2_618,BACE2,121,120
7.920679868,0.83250775,0.586310185,1.571128821,0.116152729,0.29092914,121_vs_120,BBS10_22175,BBS10,121,120
27.89274261,0.477674678,0.284368439,1.740559621,0.081760801,0.230084512,121_vs_120,BCL2L13_18967,BCL2L13,121,120
24.52217011,-0.622056385,0.375952918,-1.720944317,0.085260929,0.235773574,121_vs_120,BCL2L13_26889,BCL2L13,121,120
48.58089082,-0.797676536,0.28760865,-2.832380691,0.00462028,0.02735572,121_vs_120,BCL2L13_26891,BCL2L13,121,120
3649.311866,0.435390097,0.261865245,1.763922426,0.077745041,0.222181765,121_vs_120,BCL2L1_21647,BCL2L1,121,120
60.68187822,0.572119093,0.270570253,2.162194555,0.030603183,0.114737953,121_vs_120,BECN1_680,BECN1,121,120
28.21327902,-0.72993947,0.423799176,-1.825070268,0.067990426,0.203291375,121_vs_120,BID_26898,BID,121,120
38.31508656,0.780144217,0.423321764,1.950877554,0.051071613,0.166435012,121_vs_120,BIRC2_703,BIRC2,121,120
3.146954132,-0.774927454,1.682742098,-1.620006724,0.105230832,0.271241542,121_vs_120,BRCA1_26902,BRCA1,121,120
